Country,Y1860,Y1865,Y1870,Y1875,Y1880,Y1885,Y1890,Y1895,Y1900,Y1905,Y1910,Y1915,Y1920,Y1925,Y1930,Y1935,Y1940,Y1945,Y1950,Y1955,Y1960,Y1965,Y1970,Y1975,Y1980,Y1985,Y1990,Y1995,Y2000,Y2005,Y2010,,,,,,,,,,,,
Ecuador,,,,,,,,,,,,,,,,,,,55.7,,67.5,,,74.2,83.6,,88.3,90.1,91.0,84.2,91.9,,,,,,,,,,,,
Egypt,,,,,,,,,,7.3,,8.8,,14.1,,14.8,,19.9,22.5,,25.8,,,38.2,39.7,44.4,47.5,55.6,55.3,71.4,72.0,,,,,,,,,,,,
El Salvador,,,,,,,,,,,,,,,27.6,,,,39.4,,49.0,,57.1,62.0,63.0,,68.7,71.5,74.1,83.6,84.5,,,,,,,,,,,,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,22.5,,,,,,60.4,,73.2,78.5,88.3,,93.9,,,,,,,,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,52.5,,67.8,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,84.9,,,94.8,,,,,,,,,,,99.7,,99.8,,99.8,,,,,,,,,,,,
Ethiopia,,,,,,,,,,,,,,,,,,,3.0,,,6.0,12.8,,22.9,,30.8,35.5,40.4,39.8,39.0,,,,,,,,,,,,
Fiji,,,,,,,,,,,,,55.1,,,,,64.4,67.5,,,,79.0,,83.0,,89.2,91.6,93.6,93.7,96.3,,,,,,,,,,,,
Finland,,,,,,,,,38.8,,55.3,,69.9,,84.1,,,,98.5,,99.0,,99.0,,99.0,,100.0,,100.0,,100.0,,,,,,,,,,,,
France,,,33.0,,,,,,83.5,85.9,88.1,,91.8,93.9,94.7,96.0,,96.6,96.5,,96.6,,97.0,,98.0,,99.0,,99.0,99.0,99.0,,,,,,,,,,,,
Gabon,,,,,,,,,,,,,,,,,,,3.0,,12.4,,,,40.8,,55.9,63.2,70.7,83.8,88.4,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.7,,99.7,,,,,,,,,,,,
Germany,,,,,,,,,,,,,,,,,,,98.5,,98.7,,98.7,,98.8,,99.0,,99.0,99.0,99.0,,,,,,,,,,,,
Ghana,,,,,,,,,,,,,,,,,,,22.5,,27.0,,30.2,,44.5,,58.2,64.5,70.7,,80.9,,,,,,,,,,,,
Greece,,,,,,,,,,39.5,,,53.9,,58.1,,,,74.1,,80.4,,84.4,,90.5,,92.6,,96.0,,97.2,,,,,,,,,,,,
Guatemala,,,,,,,,,,,,,13.2,,,,32.6,,29.4,,31.5,37.9,,46.0,48.7,,53.3,64.2,69.1,,75.2,,,,,,,,,,,,
Guinea,,,,,,,,,,,,,,,,,,,3.0,,,8.6,,,22.4,,31.0,35.9,41.0,29.7,51.6,,,,,,,,,,,,
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,4.9,,,,39.1,,49.5,54.9,60.2,,70.0,,,,,,,,,,,,
Guyana,,,,,,,,,,,43.7,,47.9,,67.7,,,75.5,,,87.1,,80.1,,94.8,,97.2,98.1,98.6,,99.3,,,,,,,,,,,,
Haiti,,,,,,,,,,,,,,,,,,,10.5,,14.5,,19.6,,34.7,,41.0,45.0,49.4,,57.7,,,,,,,,,,,,
Honduras,,,,,,,,,,,,,,26.1,33.3,32.6,34.7,36.3,35.2,,45.0,,56.9,,62.3,,69.4,72.7,80.0,83.6,84.8,,,,,,,,,,,,
Hungary,,,,,,,,,60.1,,67.7,,86.6,,90.0,,93.6,,95.3,,96.9,97.4,98.0,,98.9,,99.0,99.0,99.0,99.0,99.0,,,,,,,,,,,,
Iceland,,,,,,,,,,,,,,,,,,,98.5,,,,,,,,,,,99.0,99.0,,,,,,,,,,,,
India,,,,,,,,,6.2,,7.0,,8.3,,9.1,,,,19.3,,27.8,,34.1,,40.8,,48.2,52.0,61.0,,62.6,,,,,,,,,,,,
